CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,"-102,44423","22,14564",2012-2021,<2,Excelente,"26,971",Aceptable,<10,Excelente,"25,5",Excelente,<3,Excelente,,,,,"99,9",Excelente,"70,7",Excelente,40,Aceptable,,,,,<1,No Toxico,<1,No Toxico,"1,5",Toxicidad moderada,"2,2",Toxicidad moderada,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU17,PRESA PRESIDENTE CALLES PAREDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,"-102,45887","22,13645",2012-2021,"3,59",Buena calidad,"27,868",Aceptable,<10,Excelente,"46,5",Excelente,<3,Excelente,,,,,"97,8",Excelente,"72,2",Excelente,"42,05",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU18,PRESA 50 ANIVERSARIO CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA CALLES,PRESA 50 ANIVERSARIO,LÉNTICO,PRESA,"-102,46530","22,18899",2012-2021,"2,92",Excelente,"32,39",Aceptable,12,Excelente,160,Buena calidad,10,Excelente,,,,,"91,9",Excelente,"48,4",Aceptable,"21,85",Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"OD%F,",SI,SI,SI,SI,SI,ND,NO,SI,LENTICO
DLAGU20,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,RIO CHICALOTE,LÓTICO,RÍO,"-102,29445","21,98063",2012-2021,407,Fuertemente contaminada,"767,84",Fuertemente contaminada,230,Contaminada,241960,Fuertemente contaminada,241960,Fuertemente contaminada,,,10,Fuertemente contaminada,,,,,,,"9,2",Toxicidad alta,"73,5",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,",NO,NO,NO,NO,NO,ND,NO,NO,LOTICO
DLAGU21,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,RIO CHICALOTE,LÓTICO,RÍO,"-102,28905","21,98524",2012-2021,"145,475",Fuertemente contaminada,"580,4",Fuertemente contaminada,"162,5",Contaminada,241960,Fuertemente contaminada,241960,Fuertemente contaminada,,,<10,Fuertemente contaminada,,,,,,,"8,2",Toxicidad alta,"62,1",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,SST,CF,E_COLI,OD%L,TOX_L,",NO,NO,NO,NO,NO,ND,NO,NO,LOTICO
DLAGU22,RIO SAN PEDRO AGUAS ARRIBA DE LA CD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,RÍO SAN PEDRO,LÓTICO,RÍO,"-102,33000","21,94000",2012-2021,"40,98",Contaminada,"293,05",Fuertemente contaminada,80,Aceptable,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,12,Contaminada,,,,,,,"4,1",Toxicidad moderada,"10,1",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,",NO,NO,SI,NO,NO,ND,NO,NO,LOTICO
DLAGU23,PRESA LOS GRINGOS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA LOS GRINGOS,LÉNTICO,PRESA,"-102,26814","21,90766",2012-2021,"26,3",Aceptable,"136,35",Contaminada,"55,8",Buena calidad,24196,Fuertemente contaminada,2142,Fuertemente contaminada,,,,,"140,8",Contaminada,"48,15",Aceptable,"40,6",Aceptable,,,,,"1,1",Toxicidad baja,<1,No Toxico,"16,0",Toxicidad alta,<1,No Toxico,Rojo,"DQO,CF,E_COLI,OD%S,TOX_S,",SI,NO,SI,NO,NO,ND,NO,NO,LENTICO
DLAGU24,PRESA EL CEDAZO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL CEDAZO,LÉNTICO,PRESA,"-102,25658","21,86921",2012-2021,"11,38",Aceptable,60,Contaminada,25,Excelente,24196,Fuertemente contaminada,4884,Fuertemente contaminada,,,,,"112,8",Buena calidad,"62,4",Buena calidad,"81,8",Excelente,,,,,<1,No Toxico,<1,No Toxico,"1,5",Toxicidad moderada,"1,6",Toxicidad moderada,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LENTICO
DLAGU27,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,"-102,35734","21,81824",2012-2021,"65,77",Contaminada,"199,42",Contaminada,"49,285",Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,12,Contaminada,,,,,,,"3,8",Toxicidad moderada,"7,7",Toxicidad alta,,,,,,,,,Rojo,"DBO,DQO,CF,E_COLI,OD%L,TOX_L,",NO,NO,SI,NO,NO,ND,NO,NO,LOTICO
DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,Presa El Niágara,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,"-102,33361","21,84536",2012-2021,"28,87",Aceptable,"201,33",Fuertemente contaminada,"48,75",Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"25,4",Contaminada,,,,,,,<1,No Toxico,"2,6",Toxicidad moderada,,,,,,,,,Rojo,"DQO,CF,E_COLI,OD%L,",SI,NO,SI,NO,NO,ND,NO,SI,LOTICO
DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,"-102,37299","21,81627",2012-2021,"31,92",Contaminada,"84,9",Contaminada,30,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,,,10,Fuertemente contaminada,<10,Fuertemente contaminada,<10,Fuertemente contaminada,,,,,<1,No Toxico,<1,No Toxico,"5,6",Toxicidad alta,"7,6",Toxicidad alta,Rojo,"DBO,DQO,CF,E_COLI,OD%S,OD%M,OD%F,TOX_S,TOX_F,",NO,NO,SI,NO,NO,ND,NO,NO,LENTICO
DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,"-102,37466","21,80070",2012-2021,"26,7",Aceptable,"91,33",Contaminada,31,Buena calidad,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,,,"23,2",Contaminada,<10,Fuertemente contaminada,<10,Fuertemente contaminada,,,,,<1,No Toxico,<1,No Toxico,"1,0",Toxicidad baja,"20,5",Toxicidad alta,Rojo,"DQO,CF,E_COLI,OD%S,OD%M,OD%F,TOX_F,",SI,NO,SI,NO,NO,ND,NO,NO,LENTICO
DLAGU30,PRESA EL NIAGARA 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,"-102,36799","21,79024",2012-2021,"19,575",Aceptable,"81,6478",Contaminada,28,Buena calidad,24196,Fuertemente contaminada,"10918,5",Fuertemente contaminada,,,,,10,Fuertemente contaminada,<10,Fuertemente contaminada,<10,Fuertemente contaminada,,,,,<1,No Toxico,<1,No Toxico,"3,4",Toxicidad moderada,"4,2",Toxicidad moderada,Rojo,"DQO,CF,E_COLI,OD%S,OD%M,OD%F,",SI,NO,SI,NO,NO,ND,NO,SI,LENTICO
DLAGU31,PRESA EL NIAGARA CANAL DE RIEGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,PRESA EL NIAGARA,LÓTICO,CANAL,"-102,37381","21,77918",2012-2021,"18,87",Aceptable,"70,46",Contaminada,26,Buena calidad,24196,Fuertemente contaminada,"3351,5",Fuertemente contaminada,,,"30,35",Aceptable,,,,,,,"1,5",Toxicidad moderada,"2,2",Toxicidad moderada,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLAGU32,PRESA EL NIAGARA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIÁGARA,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,"-102,37080","21,78043",2012-2021,"20,45",Aceptable,"101,9628",Contaminada,"38,5",Buena calidad,24196,Fuertemente contaminada,"1441,5",Fuertemente contaminada,,,,,"32,8",Aceptable,"18,5",Contaminada,<10,Fuertemente contaminada,,,,,<1,No Toxico,<1,No Toxico,"2,0",Toxicidad moderada,"24,4",Toxicidad alta,Rojo,"DQO,CF,E_COLI,OD%M,OD%F,TOX_F,",SI,NO,SI,NO,NO,ND,NO,NO,LENTICO
DLAGU32M1,HIDRANTE PARCELARII DISTRITO DE RIEGO 001 PABELLON,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,PABELLÓN DE ARTEAGA,RÍO SAN PEDRO,PRESA PRESIDENTE CALLES,LÉNTICO,SISTEMA DE RIEGO DE LA PRESA,"-102,34201","22,14338",2012-2021,"4,61",Buena calidad,"22,955",Aceptable,<10,Excelente,52,Excelente,<3,Excelente,,,,,"38,8",Aceptable,,,,,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU33,RIO SAN PEDRO LAGUNA EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,"-102,37363","21,75618",2012-2021,18,Aceptable,"78,376",Contaminada,"22,5",Excelente,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"69,3",Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLAGU35,RIO SAN PEDRO PUENTE SAN PEDRO CIENEGUILLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,"-102,40724","21,71666",2012-2021,"11,06",Aceptable,"63,44",Contaminada,94,Aceptable,24196,Fuertemente contaminada,1793,Fuertemente contaminada,,,"67,5",Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLAGU36M1,PRESA LAS MERCEDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,PRESA EL NIÁGARA,PRESA LAS MERCEDES,LÉNTICO,PRESA,"-101,86181","21,99751",2012-2021,2,Excelente,"35,015",Aceptable,"11,25",Excelente,223,Aceptable,"5,75",Excelente,,,,,"95,85",Excelente,"82,3",Excelente,"83,4",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU37M1,RIO SAN PEDRO SUR DEL PARQUE RECREATIVO EL SABINAL,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,"-102,36757","21,74109",2012-2021,15,Aceptable,"66,63",Contaminada,23,Excelente,24196,Fuertemente contaminada,24196,Fuertemente contaminada,,,"42,95",Aceptable,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLAGU38M1,RIO SAN PEDRO EXHACIENDA AGOSTADERITO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA AJOJUCAR,RIO SAN PEDRO,LÓTICO,RÍO,"-102,36137","21,76688",2012-2021,"17,28",Aceptable,"69,07",Contaminada,22,Excelente,24196,Fuertemente contaminada,1250,Fuertemente contaminada,,,"72,3",Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
DLAGU40,PRESA MEDIA LUNA 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MEDIA LUNA,LÉNTICO (HUMEDAL),PRESA,"-102,77811","21,82335",2012-2021,"3,82",Buena calidad,"39,69",Aceptable,<10,Excelente,"2552,5",Contaminada,"610,5",Aceptable,,,,,"53,05",Buena calidad,"39,1",Aceptable,"31,6",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Amarillo,"CF,",SI,SI,SI,NO,SI,ND,SI,SI,LENTICO
DLAGU43,PRESA PEÑA BLANCA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA PEÑA BLANCA,LÉNTICO,PRESA,"-102,75308","21,90446",2012-2021,"4,11",Buena calidad,"36,36",Aceptable,<10,Excelente,238,Aceptable,<3,Excelente,,,,,"88,1",Excelente,"51,3",Buena calidad,"55,65",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU45,PRESA ORDEÑA VIEJA 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA ORDEÑA VIEJA,LÉNTICO,PRESA,"-102,72268","21,94775",2012-2021,"4,275",Buena calidad,"48,015",Contaminada,<10,Excelente,171,Buena calidad,<3,Excelente,,,,,"94,9",Excelente,"75,2",Excelente,"46,8",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU46,PRESA LA CODORNIZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA LA CODORNIZ,LÉNTICO,PRESA,"-102,67545","21,99809",2012-2021,"3,75",Buena calidad,"39,91",Aceptable,13,Excelente,249,Aceptable,10,Excelente,,,,,99,Excelente,"77,35",Excelente,"79,9",Excelente,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,"-102,65304","21,85799",2012-2021,"4,675",Buena calidad,"43,662",Contaminada,"14,2125",Excelente,244,Aceptable,<3,Excelente,,,,,"99,7",Excelente,"62,2",Buena calidad,"40,6",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU48,PRESA MAL PASO COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,RÍO JUCHIPILA 1,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,"-102,64790","21,85779",2012-2021,"4,22",Buena calidad,"39,2496",Aceptable,<10,Excelente,317,Aceptable,10,Excelente,,,,,"104,3",Excelente,"66,45",Buena calidad,"44,2",Aceptable,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,"-102,42860","21,91633",2012-2021,"5,12",Buena calidad,"45,53",Contaminada,"13,75",Excelente,556,Aceptable,10,Excelente,,,,,"82,2",Excelente,"36,2",Aceptable,"29,75",Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,"1,1",Toxicidad baja,Rojo,"DQO,OD%F,",SI,NO,SI,SI,SI,ND,NO,SI,LENTICO
DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,"-102,43485","21,91160",2012-2021,"4,075",Buena calidad,"52,22",Contaminada,"11,965",Excelente,"397,5",Aceptable,<3,Excelente,,,,,"78,95",Excelente,"46,8",Aceptable,"36,1",Aceptable,,,,,<1,No Toxico,<1,No Toxico,"1,6",Toxicidad moderada,"1,3",Toxicidad baja,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESÚS MARÍA,PRESA EL NIÁGARA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,"-102,43310","21,91555",2012-2021,"5,15",Buena calidad,"61,77",Contaminada,21,Excelente,611,Aceptable,<3,Excelente,,,,,"86,35",Excelente,"42,6",Aceptable,"24,75",Contaminada,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,"2,0",Toxicidad moderada,Rojo,"DQO,OD%F,",SI,NO,SI,SI,SI,ND,NO,SI,LENTICO
DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,RINCÓN DE ROMOS,RÍO SAN PEDRO,PRESA EL SAUCILLO,LÉNTICO,PRESA,"-102,33911","22,24730",2012-2021,"4,13",Buena calidad,"46,06",Contaminada,"13,5",Excelente,246,Aceptable,20,Excelente,,,,,"105,95",Excelente,"56,2",Buena calidad,"59,6",Buena calidad,,,,,<1,No Toxico,<1,No Toxico,<1,No Toxico,<1,No Toxico,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
